,combo-id,inst-id,file-name,stripe-thresh-cov-zero,file-subpaths
210,2,2-11,2-11.png,115.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-11.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-11.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-11.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-11.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-11.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-11.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-11.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-11.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-11.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-11.png']"
211,2,2-12,2-12.png,552.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-12.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-12.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-12.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-12.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-12.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-12.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-12.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-12.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-12.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-12.png']"
212,2,2-13,2-13.png,21.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-13.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-13.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-13.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-13.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-13.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-13.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-13.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-13.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-13.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-13.png']"
213,2,2-14,2-14.png,155.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-14.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-14.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-14.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-14.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-14.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-14.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-14.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-14.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-14.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-14.png']"
214,2,2-15,2-15.png,455.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-15.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-15.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-15.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-15.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-15.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-15.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-15.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-15.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-15.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-15.png']"
215,2,2-16,2-16.png,105.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-16.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-16.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-16.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-16.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-16.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-16.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-16.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-16.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-16.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-16.png']"
216,2,2-17,2-17.png,0.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-17.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-17.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-17.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-17.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-17.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-17.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-17.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-17.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-17.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-17.png']"
217,2,2-18,2-18.png,75.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-18.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-18.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-18.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-18.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-18.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-18.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-18.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-18.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-18.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-18.png']"
218,2,2-19,2-19.png,97.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-19.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-19.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-19.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-19.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-19.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-19.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-19.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-19.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-19.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-19.png']"
219,2,2-20,2-20.png,553.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-20.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-20.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-20.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-20.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-20.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-20.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-20.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-20.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-20.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-20.png']"
