,combo-id,inst-id,file-name,stripe-thresh-cov-zero
210,2,2-11,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-11.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-11.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-11.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-11.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-11.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-11.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-11.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-11.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-11.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-11.png']",11.0
211,2,2-12,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-12.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-12.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-12.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-12.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-12.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-12.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-12.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-12.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-12.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-12.png']",65.0
212,2,2-13,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-13.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-13.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-13.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-13.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-13.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-13.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-13.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-13.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-13.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-13.png']",54.0
213,2,2-14,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-14.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-14.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-14.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-14.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-14.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-14.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-14.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-14.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-14.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-14.png']",94.0
214,2,2-15,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-15.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-15.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-15.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-15.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-15.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-15.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-15.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-15.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-15.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-15.png']",29.0
215,2,2-16,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-16.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-16.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-16.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-16.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-16.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-16.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-16.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-16.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-16.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-16.png']",66.0
216,2,2-17,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-17.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-17.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-17.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-17.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-17.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-17.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-17.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-17.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-17.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-17.png']",0.0
217,2,2-18,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-18.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-18.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-18.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-18.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-18.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-18.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-18.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-18.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-18.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-18.png']",40.0
218,2,2-19,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-19.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-19.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-19.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-19.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-19.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-19.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-19.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-19.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-19.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-19.png']",212.0
219,2,2-20,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-20.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-20.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-20.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-20.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-20.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-20.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-20.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-20.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-20.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-20.png']",7.0
