,combo-id,inst-id,file-name,stripe-thresh-cov-zero
9527,95,95-28,95\95-28.png,72.0
9528,95,95-29,95\95-29.png,307.0
9529,95,95-30,95\95-30.png,427.0
9530,95,95-31,95\95-31.png,1803.0
9531,95,95-32,95\95-32.png,517.0
9532,95,95-33,95\95-33.png,327.0
9533,95,95-34,95\95-34.png,296.0
9534,95,95-35,95\95-35.png,98.0
9535,95,95-36,95\95-36.png,214.0
9536,95,95-37,95\95-37.png,413.0
9537,95,95-38,95\95-38.png,1958.0
9538,95,95-39,95\95-39.png,31.0
9539,95,95-40,95\95-40.png,705.0
9540,95,95-41,95\95-41.png,1062.0
9541,95,95-42,95\95-42.png,249.0
9542,95,95-43,95\95-43.png,0.0
9543,95,95-44,95\95-44.png,444.0
9544,95,95-45,95\95-45.png,132.0
9545,95,95-46,95\95-46.png,666.0
9546,95,95-47,95\95-47.png,904.0
9547,95,95-48,95\95-48.png,345.0
9548,95,95-49,95\95-49.png,211.0
9549,95,95-50,95\95-50.png,250.0
9550,95,95-51,95\95-51.png,160.0
9551,95,95-52,95\95-52.png,135.0
9552,95,95-53,95\95-53.png,147.0
9553,95,95-54,95\95-54.png,776.0
9554,95,95-55,95\95-55.png,914.0
9555,95,95-56,95\95-56.png,1212.0
9556,95,95-57,95\95-57.png,170.0
9557,95,95-58,95\95-58.png,290.0
9558,95,95-59,95\95-59.png,415.0
9559,95,95-60,95\95-60.png,557.0
9560,95,95-61,95\95-61.png,109.0
9561,95,95-62,95\95-62.png,28.0
9562,95,95-63,95\95-63.png,589.0
9563,95,95-64,95\95-64.png,664.0
9564,95,95-65,95\95-65.png,843.0
9565,95,95-66,95\95-66.png,613.0
9566,95,95-67,95\95-67.png,192.0
9567,95,95-68,95\95-68.png,578.0
9568,95,95-69,95\95-69.png,336.0
9569,95,95-70,95\95-70.png,78.0
9570,95,95-71,95\95-71.png,342.0
9571,95,95-72,95\95-72.png,228.0
9572,95,95-73,95\95-73.png,1418.0
9573,95,95-74,95\95-74.png,598.0
9574,95,95-75,95\95-75.png,0.0
9575,95,95-76,95\95-76.png,638.0
9576,95,95-77,95\95-77.png,1772.0
9577,95,95-78,95\95-78.png,475.0
9578,95,95-79,95\95-79.png,1714.0
9579,95,95-80,95\95-80.png,102.0
9580,95,95-81,95\95-81.png,361.0
9581,95,95-82,95\95-82.png,564.0
9582,95,95-83,95\95-83.png,185.0
9583,95,95-84,95\95-84.png,184.0
9584,95,95-85,95\95-85.png,368.0
9585,95,95-86,95\95-86.png,213.0
9586,95,95-87,95\95-87.png,48.0
9587,95,95-88,95\95-88.png,61.0
9588,95,95-89,95\95-89.png,404.0
9589,95,95-90,95\95-90.png,128.0
9590,95,95-91,95\95-91.png,17.0
9591,95,95-92,95\95-92.png,1395.0
9592,95,95-93,95\95-93.png,1170.0
9593,95,95-94,95\95-94.png,238.0
9594,95,95-95,95\95-95.png,516.0
9595,95,95-96,95\95-96.png,448.0
9596,95,95-97,95\95-97.png,1605.0
9597,95,95-98,95\95-98.png,1143.0
9598,95,95-99,95\95-99.png,1043.0
9599,95,95-100,95\95-100.png,150.0
